source,symbol,company,desc,announced_at,attachment_text,is_order_win,order_value_inr,counterparty_type,hand_label,hand_value,hand_counterparty
NSE-sme,DKEGL,D.K. Enterprises Global Limited,Acquisition,2025-09-27 18:58:15,D.K. Enterprises Global Limited has informed the Exchange that its Board has considered and approved the draft Share Purchase Agreement for the acquisition of a 100% equity stake in Superior Biotec Private Limited.,False,,unclear,no,,
NSE-equities,NIITLTD,NIIT Limited,Press Release,2022-06-21 14:13:42,Please find enclosed a copy of the press release titled ���NIIT awarded the ���Transformational platform for professional learning in new-age technologies��� at the Digital Leadership Conclave 2022 by Dataquest���.,False,,unclear,no,,
NSE-equities,ZYDUSLIFE,Zydus Lifesciences Limited,Press Release,2026-03-16 20:15:07,"Zydus Lifesciences Limited has informed the Exchange regarding a press release dated March 16, 2026, titled ""Sentynl Therapeutics Enters into Agreement with PRG S&T to License Molecule for Hutchinson-Gilford Progeria Syndrome"".",False,,private,no,,
NSE-equities,NEWGEN,Newgen Software Technologies Limited,Bagging/Receiving of orders/contracts,2026-04-01 13:14:34,Newgen Software Technologies Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,ASHOKA,Ashoka Buildcon Limited,Awarding of order(s)/contract(s),2026-04-24 12:58:56,Ashoka Buildcon Limited has informed the Exchange about Receipt of Letter of Contract Acceptance from Ministry of Energy and Water   Republic of Angola,True,,govt,yes,,govt
NSE-equities,LEMONTREE,Lemon Tree Hotels Limited,Press Release,2025-06-19 19:09:06,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 19, 2025, titled ""Lemon Tree Hotels has signed a License Agreement viz Lemon Tree Resort, Limbodagari, Madhya Pradesh"".",False,,unclear,no,,
NSE-equities,KPIL,Kalpataru Projects International Limited,Press Release,2022-12-15 13:21:21,"Kalpataru Power Transmission Limited has informed the Exchange about press release dated 15-Dec-2022 titled KPTL RECEIVES NEW ORDERS OF Rs. 1,397 CRORES",True,13970000000.0,unclear,yes,13970000000.0,unclear
NSE-equities,HSCL,Himadri Speciality Chemical Limited,Press Release,2025-01-13 19:27:55,"Himadri Speciality Chemical Limited has informed the Exchange regarding a press release dated January 13, 2025, titled "" Himadri Speciality Chemical Ltd Awarded EcoVadis Platinum Medal "".",False,,unclear,no,,
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,Updates,2024-11-22 20:04:10,"Sammaan Capital Limited has informed the Exchange regarding 'Intimation in terms of Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, regarding payment of interest on Secured Redeemable Non-Convertible Debentures (NCDs) issued by the Company, on private placement basis.For details refer attachment.",False,,unclear,no,,
NSE-equities,LT,Larsen & Toubro Limited,Bagging/Receiving of orders/contracts,2026-01-13 09:34:50,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,UGROCAP,Ugro Capital Limited,Memorandum of Understanding/Agreements,2023-04-12 16:27:28,Ugro Capital Limited has informed the Exchange about execution of Investment Agreement,False,,private,no,,
NSE-equities,EMAMIREAL,Emami Realty Limited,Updates,2021-08-10 14:24:14,"Emami Realty Limited has informed the Exchange regarding 'Announcement under Reg 30-Pronouncement of Order of the Hon'ble National Company Law Tribunal, Kolkata Bench in the matter of Scheme of Arrangement between Oriental Sales Agencies (India) Private Limited and the Company'.",False,,unclear,no,,
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,Updates,2024-04-08 19:30:06,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures (NCDs), issued by our Company, through Public Issue, and listed on the Stock Exchange.For details, refer attachment.'.",False,,unclear,no,,
NSE-equities,HUDCO,Housing & Urban Development Corporation Limited,Updates,2025-09-19 19:01:30,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'MoU between HUDCO and NBCC'.,False,,govt,no,,
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,Updates,2024-06-26 17:08:10,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-Convertible Debentures and Unsecured Redeemable Non-Convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details, refer attachment.'.",False,,unclear,no,,
NSE-equities,MAMATA,Mamata Machinery Limited,Press Release,2025-07-31 23:19:52,"Mamata Machinery Limited has informed the Exchange regarding a press release dated July 31, 2025, titled ""Mamata Machinery Wins Maiden Order for 9-Layer Blown Film Plant From a Domestic Customer"".",True,,unclear,yes,,private
