source,symbol,company,isin,industry,desc,announced_at,attachment_text,pdf_url,is_order_win,order_value_inr,counterparty_type
NSE-equities,AETHER,Aether Industries Limited,INE0BWX01014,,Updates,2024-06-30 10:49:33,"In accordance with Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015, and further to our earlier intimation dated February 6, 2024, vide Ref. No.: AIL/SE/101/2024-25, we herewith intimate that out of the total order for 15 MW Solar Power Project (Auto-Tracker Modules) under Captive Power Producer (CPP) segment to M/s. KPIG Energia Private Limited (a Wholly Owned Subsidiary of M/s. KPI Green Energy Limited), on June 29, 2024, as annexed.",https://nsearchives.nseindia.com/corporate/AETHER_30062024104933_20Solar.pdf,False,,unclear
NSE-equities,ETERNAL,ETERNAL LIMITED,INE758T01015,,Updates,2024-06-29 23:32:41,"Zomato Limited has informed the Exchange regarding 'Zomato Limited has informed the exchange regarding GST order received from Assistant Commissioner of Commercial Taxes (Audit), Karnataka'.",https://nsearchives.nseindia.com/corporate/ZOMATO_29062024233241_ZLIntimationGST.pdf,False,,unclear
NSE-equities,SOLEX,Solex Energy Limited,INE880Y01017,,Updates,2024-06-29 20:22:14,"Solex Energy Limited has informed the Exchange regarding 'Receipt of Work Order -Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/SOLEX_29062024202214_disclosure.pdf,True,,unclear
NSE-equities,SHRADHA,Shradha Realty Limited,INE715Y01015,,Updates,2024-06-29 18:42:55,Shradha Infraprojects Limited has informed the Exchange regarding 'Execution of  Agreement to Sale  with G. H. RAISONI SKILL TECH UNIVERSITY for sale of theproperty owned by M/s ACTIVE INFRASTRUCTURES PRIVATE LIMITED (Unlisted materialsubsidiary'.,https://nsearchives.nseindia.com/corporate/SHRADHA_29062024184255_update29062024.pdf,False,,unclear
NSE-equities,BHEL,Bharat Heavy Electricals Limited,INE257A01018,Electrical Equipment,Updates,2024-06-29 18:15:46,Bharat Heavy Electricals Limited has informed the Exchange regarding 'Communication/order regarding recovery of ineligible ITC along with penalty and interest '.,https://nsearchives.nseindia.com/corporate/BHEL_29062024181546_BHELInfoforSE.pdf,False,,unclear
NSE-equities,CENTRALBK,Central Bank of India,INE483A01010,Banks,Updates,2024-06-29 17:50:44,"Central Bank of India has informed the Exchange regarding 'Intimation under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Distribution Agreement with M/s Mirae Asset Investment Managers (India) Pvt. Ltd. for its Mutual Funds Products'.",https://nsearchives.nseindia.com/corporate/CENTRALBK_29062024175044_Mirae_Intimation_under_SEBI.pdf,False,,unclear
NSE-equities,ZAGGLE,Zaggle Prepaid Ocean Services Limited,INE07K301024,,Updates,2024-06-29 17:43:51,Zaggle Prepaid Ocean Services Limited has informed the Exchange regarding 'Receipt of award for  FinTech Brand of the Year  at 4th Edition Festival of FinTech Conclave Awards 2024 in association with BW Businessworld'.,https://nsearchives.nseindia.com/corporate/ZAGGLE_29062024174351_SEIntimationFinTechBrandoftheYear.pdf,False,,unclear
NSE-equities,KPITTECH,KPIT Technologies Limited,INE04I401011,,Updates,2024-06-29 13:46:58,KPIT Technologies Limited has informed the Exchange regarding 'Disclosure under Regulation 30 - Update on Joint Venture Investment Agreement with ZF Friedrichshafen AG'.,https://nsearchives.nseindia.com/corporate/KPITTECH_29062024134658_QorixCap3Signed.pdf,False,,unclear
NSE-equities,AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,Construction,Trading Window,2024-06-29 13:23:20,"Ahluwalia Contracts (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/AHLUCONT_29062024132320_ClosureofTradingWindowQ1Result.pdf,False,,unclear
NSE-equities,GULPOLY,Gulshan Polyols Limited,INE255D01016,,Updates,2024-06-29 12:53:28,"The Company has been allocated quantity for supplying 2713 Kiloliters of Ethanol for Q4 (ESY 23-24) till 31/10/2024 from its 60 KLPD Ethanol plant at Boregaon with an estimated order value of Rs. 18,85,66,000.'.",https://nsearchives.nseindia.com/corporate/GULPOLY_29062024125328_intimation29062024.pdf,True,188566000.0,unclear
