symbol,t0,company,order_value_inr,mcap_prior,materiality_ratio,median_daily_value
AHLUCONT,2023-06-12,Ahluwalia Contracts (India) Limited,4265700000.0,39017436657.22412,0.10932804318938263,55793440.8815918
AHLUCONT,2024-06-03,Ahluwalia Contracts (India) Limited,22451500000.0,78421049401.91895,0.28629430709263903,55793440.8815918
AHLUCONT,2024-09-10,Ahluwalia Contracts (India) Limited,13070000000.0,80037116109.72656,0.1632992370949715,55793440.8815918
AHLUCONT,2025-06-27,Ahluwalia Contracts (India) Limited,11035600000.0,63090755767.336426,0.17491627522575012,55793440.8815918
AIMTRON,2025-04-24,Aimtron Electronics Limited,1280000000.0,12234638429.203735,0.10462099124602459,27908404.376220703
ALPEXSOLAR,2024-10-16,Alpex Solar Limited,2771900000.0,23498135607.495117,0.11796255014869592,45465750.0
ANURAS,2023-03-23,Anupam Rasayan India Limited,9840000000.0,93959389884.49146,0.10472609509381403,330202697.8930664
APS,2025-09-01,Australian Premium Solar (India) Limited,1094788000.0,9384353107.910156,0.11666099809023525,6808843.692779541
ASHOKA,2022-03-31,Ashoka Buildcon Limited,10790000000.0,24086052875.29927,0.4479770951206937,136379922.00291443
ASIANENE,2025-11-04,Asian Energy Services Limited,4590000000.0,16159062160.74353,0.2840511382616526,36709547.682144165
ASIANENE,2026-06-22,Asian Energy Services Limited,1876000000.0,17845183570.5,0.10512640526159837,36709547.682144165
BAJEL,2024-07-24,Bajel Projects Limited,5862800000.0,30866464975.358276,0.1899407659633349,34690373.675842285
BDL,2021-01-06,Bharat Dynamics Limited,6328800000.0,59424554572.10541,0.10650142934299442,1708276481.1116333
BLKASHYAP,2023-03-14,B. L. Kashyap and Sons Limited,1580000000.0,6267231828.00293,0.25210492341137336,18892582.835193634
BLKASHYAP,2023-07-19,B. L. Kashyap and Sons Limited,3690000000.0,10043351828.00293,0.36740722252819236,18892582.835193634
BLKASHYAP,2024-06-12,B. L. Kashyap and Sons Limited,10210000000.0,20508277075.195312,0.4978477695890387,18892582.835193634
CAPACITE,2022-04-28,Capacit'e Infraprojects Limited,8264900000.0,11573833340.59105,0.7141022128782382,60770331.436813354
CAPACITE,2024-04-18,Capacit'e Infraprojects Limited,5490000000.0,25706938981.9321,0.21356101571869757,60770331.436813354
CAPACITE,2024-10-25,Capacit'e Infraprojects Limited,12030000000.0,28410036606.635803,0.42344190423148287,60770331.436813354
CAPACITE,2025-06-24,Capacit'e Infraprojects Limited,6210000000.0,26675653725.135803,0.23279654414423862,60770331.436813354
CAPACITE,2025-10-10,Capacit'e Infraprojects Limited,5423700000.0,23579147816.864197,0.23002103562542153,60770331.436813354
CAPACITE,2026-02-04,Capacit'e Infraprojects Limited,4450000000.0,19341330321.86821,0.23007724525383977,60770331.436813354
CAPACITE,2026-06-03,Capacit'e Infraprojects Limited,5890000000.0,18902235132.14537,0.3116033611275629,60770331.436813354
CEMPRO,2021-05-12,Cemindia Projects Limited,9500000000.0,13413017597.041992,0.7082671689102279,196742267.38146973
CEMPRO,2022-01-13,Cemindia Projects Limited,46000000000.0,13983219949.335938,3.2896571867329127,196742267.38146973
CEMPRO,2022-06-08,Cemindia Projects Limited,48500000000.0,10356374372.728271,4.683106100115152,196742267.38146973
CEMPRO,2022-10-11,Cemindia Projects Limited,17550000000.0,19317677125.952637,0.9084943228718828,196742267.38146973
CEMPRO,2023-02-15,Cemindia Projects Limited,8330000000.0,17806890830.5166,0.4677964322510723,196742267.38146973
CEMPRO,2024-06-27,Cemindia Projects Limited,10820000000.0,88232804099.53125,0.12263012731403697,196742267.38146973
CEMPRO,2024-10-03,Cemindia Projects Limited,19370000000.0,91916905432.52344,0.21073381342477412,196742267.38146973
CEWATER,2026-06-01,Concord Enviro Systems Limited,1260000000.0,5857033939.0,0.2151259516544864,15014390.482131958
CMSINFO,2026-01-07,CMS Info Systems Limited,10000000000.0,54238998536.76117,0.1843691858215703,132334323.60661316
