,CLOSE_PRICE
20MICRONS,32.45
21STCENMGM,9.75
3IINFOTECH,3.4
3MINDIA,21784.8
3PLAND,7.05
5PAISA,344.3
63MOONS,76.0
8KMILES,85.1
A2ZINFRA,3.7
AAKASH,53.15
AARON,46.4
AARTIDRUGS,677.85
AARTIIND,1122.8
AARTISURF,907.8
AARVEEDEN,10.65
AARVI,37.7
AAVAS,1493.3
ABAN,24.0
ABB,1116.05
ABBOTINDIA,15344.55
ABCAPITAL,80.95
ABFRL,159.6
ABMINTLTD,23.25
ABSLBANETF,286.99
ABSLNN50ET,287.0
ACC,1686.8
ACCELYA,866.3
ACE,89.35
ADANIENT,388.3
ADANIGAS,345.25
ADANIGREEN,1134.55
ADANIPORTS,375.85
ADANIPOWER,38.0
ADANITRANS,384.0
ADFFOODS,439.9
ADHUNIKIND,16.85
ADL,18.8
ADORWELD,262.2
ADROITINFO,6.3
ADSL,22.7
ADVANIHOTR,45.55
ADVENZYMES,335.55
AEGISCHEM,222.15
AFFLE,3146.0
AGARIND,81.65
AGCNET,615.0
AGRITECH,28.15
AGROPHOS,8.3
AHLEAST,134.85
AHLUCONT,238.55
AHLWEST,246.35
AIAENG,1801.3
AIRAN,14.4
AJANTPHARM,1528.6
AJMERA,95.3
AKASH,210.5
AKSHARCHEM,200.7
AKSHOPTFBR,6.65
AKZOINDIA,2106.05
ALANKIT,15.6
ALBERTDAVD,415.75
ALCHEM,5.25
ALEMBICLTD,91.8
ALICON,332.8
ALKALI,51.35
ALKEM,2679.15
ALKYLAMINE,3424.45
ALLCARGO,124.05
ALLSEC,235.1
ALMONDZ,16.0
ALOKINDS,22.15
ALPA,35.6
ALPHAGEO,163.5
AMARAJABAT,858.05
AMBER,2165.25
AMBIKCO,718.6
AMBUJACEM,257.1
AMDIND,15.5
AMJLAND,24.25
AMRUTANJAN,492.7
ANANTRAJ,21.55
ANDHRACEMT,4.85
ANDHRAPAP,204.45
ANDHRSUGAR,285.6
ANGELBRKG,359.8
ANIKINDS,11.3
ANKITMETAL,1.05
ANSALAPI,4.15
ANSALHSG,3.9
ANUP,594.35
APARINDS,329.1
APCL,203.55
APCOTEXIND,178.75
APEX,285.8
APLAPOLLO,3215.5
APLLTD,970.9
APOLLO,111.8
APOLLOHOSP,2349.6
APOLLOPIPE,656.25
APOLLOTYRE,175.15
APOLSINHOT,603.7
APTECHT,123.2
ARCHIDPLY,27.05
ARCHIES,12.7
ARCOTECH,1.95
ARENTERP,10.95
ARIES,85.8
ARIHANT,16.3
ARIHANTSUP,23.8
ARMANFIN,586.85
AROGRANITE,38.0
ARROWGREEN,46.15
ARSHIYA,13.95
ARSSINFRA,13.6
ARTEMISMED,159.55
ARVIND,41.35
ARVINDFASN,136.45
ARVSMART,89.65
ASAHIINDIA,238.05
ASAHISONG,220.8
ASAL,25.2
ASALCBR,282.6
ASHAPURMIN,73.85
ASHIANA,94.5
ASHIMASYN,9.0
ASHOKA,74.05
ASHOKLEY,90.8
ASIANHOTNR,57.4
ASIANPAINT,2166.55
ASIANTILES,290.45
ASPINWALL,120.65
ASTEC,941.8
ASTERDM,170.35
ASTRAL,1409.1
ASTRAMICRO,108.5
ASTRAZEN,4397.0
ASTRON,45.1
ATFL,712.25
ATLANTA,6.5
ATLASCYCLE,36.95
ATUL,6539.4
ATULAUTO,170.1
AUBANK,878.05
AURIONPRO,70.6
AUROPHARMA,833.4
AUSOMENT,58.1
AUTOAXLES,881.4
AUTOIND,29.65
AUTOLITIND,19.95
AVADHSUGAR,183.5
AVANTIFEED,497.3
AVTNPL,45.65
AXISBANK,607.85
AXISBNKETF,292.54
AXISCADES,58.55
AXISGOLD,43.81
AXISNIFTY,132.72
AYMSYNTEX,40.65
BAFNAPH,172.9
BAGFILMS,2.5
BAJAJ-AUTO,3058.55
BAJAJCON,184.55
BAJAJELEC,568.0
BAJAJFINSV,8542.6
BAJAJHIND,4.55
BAJAJHLDNG,3008.8
BAJFINANCE,4715.85
BALAJITELE,61.25
BALAMINES,992.05
BALAXI,677.0
BALKRISHNA,14.7
BALKRISIND,1612.5
BALLARPUR,1.15
BALMLAWRIE,102.25
BALPHARMA,54.65
BALRAMCHIN,151.95
BANARBEADS,54.45
BANARISUG,1312.95
BANCOINDIA,118.6
BANDHANBNK,349.9
BANG,19.7
BANKA,40.45
BANKBARODA,47.55
BANKBEES,294.63
BANKINDIA,43.95
BANSWRAS,80.35
BARTRONICS,1.5
BASF,1543.55
BASML,88.55
BATAINDIA,1476.9
BAYERCROP,5000.05
BBL,837.45
BBTC,1328.05
BCG,5.4
BCP,4.75
BDL,307.55
BEARDSELL,8.95
BEDMUTHA,19.65
BEL,108.35
BEML,655.4
BEPL,106.2
BERGEPAINT,643.1
BFINVEST,273.55
BFUTILITIE,256.5
BGRENERGY,34.85
BHAGERIA,136.9
BHAGYANGR,18.25
BHAGYAPROP,22.8
BHANDARI,1.1
BHARATFORG,497.3
BHARATGEAR,54.25
BHARATRAS,8697.45
BHARATWIRE,26.25
BHARTIARTL,483.7
BHEL,29.2
BIGBLOC,88.55
BIL,141.05
BILENERGY,0.75
BINDALAGRO,12.8
BIOCON,419.95
BIOFILCHEM,171.45
BIRLACABLE,50.35
BIRLACORPN,748.5
BIRLAMONEY,41.75
BIRLATYRE,19.6
BLBLIMITED,4.8
BLISSGVS,163.1
BLKASHYAP,8.05
BLS,73.5
BLUECOAST,4.65
BLUEDART,4015.75
BLUESTARCO,745.25
BODALCHEM,70.15
BOMDYEING,68.2
BOROLTD,153.75
BORORENEW,115.2
BOSCHLTD,11913.25
BPCL,383.3
BPL,20.55
BRFL,9.85
BRIGADE,220.25
BRITANNIA,3552.1
BRNL,30.55
BROOKS,61.9
BSE,554.8
BSELINFRA,0.95
BSHSL,90.85
BSL,29.9
BSLGOLDETF,4620.0
BSLNIFTY,140.91
BSOFT,182.8
BURNPUR,1.65
BUTTERFLY,405.4
BVCL,13.9
BYKE,14.05
CADILAHC,425.8
CALSOFT,9.15
CAMLINFINE,96.9
CAMS,1388.85
CANBK,93.3
CANDC,2.8
CANFINHOME,464.0
CANTABIL,328.5
CAPACITE,154.4
CAPLIPOINT,473.1
CAPTRUST,69.9
CARBORUNIV,352.2
CAREERP,164.55
CARERATING,432.75
CASTEXTECH,0.35
CASTROLIND,123.05
CCCL,0.3
CCHHL,3.35
CCL,260.2
CDSL,488.55
CEATLTD,1140.1
CEBBCO,14.45
CELEBRITY,5.0
CENTENKA,189.15
CENTEXT,3.65
CENTRALBK,11.65
CENTRUM,15.9
CENTUM,288.95
CENTURYPLY,199.2
CENTURYTEX,331.15
CERA,3055.5
CEREBRAINT,27.9
CESC,571.7
CESCVENT,254.45
CGCL,272.7
CGPOWER,34.3
CHALET,152.4
CHAMBLFERT,185.9
CHEMBOND,160.4
CHEMCON,418.65
CHEMFAB,124.5
CHENNPETRO,82.2
CHOLAFIN,338.95
CHOLAHLDNG,484.35
CHROMATIC,0.6
CIGNITITEC,432.1
CINELINE,31.05
CINEVISTA,7.4
CIPLA,739.9
CLEDUCATE,60.8
CLNINDIA,326.55
CMICABLES,32.45
CNOVAPETRO,6.45
COALINDIA,121.45
COCHINSHIP,340.25
COFORGE,2355.0
COLPAL,1534.1
COMPINFO,13.0
COMPUSOFT,7.1
CONCOR,410.0
CONFIPET,26.5
CONSOFINVT,35.85
CONTROLPR,215.55
CORALFINAC,20.3
CORDSCABLE,41.55
COROMANDEL,773.55
COSMOFILMS,444.0
COUNCODOS,2.75
COX&KINGS,1.35
CPSEETF,18.04
CREATIVE,117.35
CREATIVEYE,2.95
CREDITACC,736.6
CREST,88.35
CRISIL,2000.65
CROMPTON,303.8
CSBBANK,261.6
CTE,33.1
CUB,182.8
CUBEXTUB,11.55
CUMMINSIND,510.4
CUPID,214.55
CYBERTECH,76.55
CYIENT,462.6
DAAWAT,50.0
DABUR,508.4
DALBHARAT,982.8
DALMIASUG,130.6
DAMODARIND,23.7
DANGEE,123.8
DATAMATICS,73.3
DBCORP,81.0
DBL,361.4
DBREALTY,7.75
DBSTOCKBRO,9.4
DCAL,147.4
DCBBANK,93.4
DCM,18.8
DCMFINSERV,1.0
DCMNVL,28.35
DCMSHRIRAM,353.75
DCW,17.15
DECCANCE,354.35
DEEPAKFERT,139.6
DEEPAKNTR,811.2
DEEPENR,42.35
DELTACORP,130.0
DELTAMAGNT,19.35
DEN,71.05
DENORA,209.85
DFMFOODS,356.65
DGCONTENT,10.3
DHAMPURSUG,150.85
DHANBANK,11.85
DHANI,212.9
DHANUKA,706.4
DHARSUGAR,4.4
DHFL,21.3
DHUNINV,243.4
DIAMONDYD,616.65
DIAPOWER,0.7
DICIND,369.65
DIGISPICE,8.15
DIGJAMLTD,2.95
DISHTV,10.25
DIVISLAB,3469.1
DIXON,10353.95
DLF,181.95
DLINKINDIA,106.0
DMART,2382.6
DOLAT,47.15
DOLLAR,188.85
DONEAR,25.8
DPABHUSHAN,101.05
DPSCLTD,12.45
DPWIRES,70.9
DQE,1.1
DREDGECORP,266.0
DRREDDY,4670.95
DSSL,44.6
DTIL,265.45
DUCON,4.3
DVL,61.75
DWARKESH,28.95
DYNAMATECH,689.95
DYNPRO,240.4
EASUNREYRL,2.3
EBANK,3239.0
EBBETF0423,1105.88
EBBETF0425,1020.86
EBBETF0430,1126.65
EBBETF0431,1014.98
EBIXFOREX,499.3
ECLERX,713.9
EDELWEISS,61.35
EDUCOMP,2.6
EICHERMOT,2590.65
EIDPARRY,309.45
EIHAHOTELS,257.1
EIHOTEL,89.0
EIMCOELECO,321.45
EKC,39.2
ELECON,32.15
ELECTCAST,22.1
ELECTHERM,90.5
ELGIEQUIP,127.0
ELGIRUBCO,19.1
EMAMILTD,396.2
EMAMIPAP,76.65
EMAMIREAL,45.1
EMCO,1.1
EMKAY,67.0
EMMBI,72.95
ENDURANCE,1084.3
ENERGYDEV,6.75
ENGINERSIN,70.65
ENIL,146.55
EPL,265.0
EQ30,368.99
EQUITAS,52.85
EQUITASBNK,33.05
ERIS,519.85
EROSMEDIA,20.1
ESABINDIA,1379.05
ESCORTS,1414.65
ESSARSHPNG,7.65
ESTER,132.55
EUROMULTI,1.65
EVEREADY,185.2
EVERESTIND,264.7
EXCEL,1.2
EXCELINDUS,842.2
EXIDEIND,171.8
EXPLEOSOL,476.15
FACT,49.0
FCL,38.1
FCONSUMER,7.9
FCSSOFT,0.45
FDC,323.85
FEDERALBNK,58.45
FEL,9.95
FELDVR,13.05
FIEMIND,536.55
FILATEX,28.55
FINCABLES,283.65
FINEORG,2598.8
FINPIPE,610.0
FLEXITUFF,11.0
FLFL,82.25
FLUOROCHEM,514.0
FMGOETZE,282.3
FMNL,16.2
FORCEMOT,1176.45
FORTIS,139.2
FOSECOIND,1161.0
FRETAIL,72.05
FSC,97.95
FSL,75.95
GABRIEL,106.0
GAEL,121.3
GAIL,97.45
GAL,2.9
GALAXYSURF,1924.2
GALLANTT,33.45
GALLISPAT,27.5
GAMMNINFRA,0.6
GANDHITUBE,214.0
GANECOS,312.9
GANESHHOUC,27.95
GANGESSECU,42.8
GARDENSILK,8.2
GARFIBRES,2150.8
GATI,91.65
GAYAHWS,0.4
GAYAPROJ,32.45
GBGLOBAL,5.35
GDL,100.45
GEECEE,73.5
GEEKAYWIRE,62.6
GENESYS,44.15
GENUSPAPER,5.6
GENUSPOWER,27.7
GEOJITFSL,39.2
GEPIL,318.4
GESHIP,247.2
GET&D,101.9
GFLLIMITED,79.9
GHCL,164.6
GICHSGFIN,106.7
GICRE,125.75
GILLANDERS,35.0
GILLETTE,5770.1
GINNIFILA,15.4
GIPCL,74.1
GKWLIMITED,446.55
GLAND,1819.55
GLAXO,1524.2
GLENMARK,481.85
GLFL,2.05
GLOBALVECT,49.75
